oid,cid,pid,cat,qty,price
134,c134,p134,beauty,5,83
135,c135,p135,sport,1,100
136,c136,p136,elec,2,117
137,c137,p137,books,3,134
138,c138,p138,home,4,151
139,c139,p139,cloth,5,168
140,c140,p140,food,1,185
141,c141,p141,toys,2,202
142,c142,p142,beauty,3,19
143,c143,p143,sport,4,36
144,c144,p144,elec,5,53
145,c145,p145,books,1,70
146,c146,p146,home,2,87
147,c147,p147,cloth,3,104
148,c148,p148,food,4,121
149,c149,p149,toys,5,138
150,c150,p150,beauty,1,155
151,c151,p151,sport,2,172
152,c152,p152,elec,3,189
153,c153,p153,books,4,6
154,c154,p154,home,5,23
155,c155,p155,cloth,1,40
156,c156,p156,food,2,57
157,c157,p157,toys,3,74
158,c158,p158,beauty,4,91
159,c159,p159,sport,5,108
160,c160,p160,elec,1,125
161,c161,p161,books,2,142
162,c162,p162,home,3,159
163,c163,p163,cloth,4,176
164,c164,p164,food,5,193
165,c165,p165,toys,1,10
166,c166,p166,beauty,2,27
167,c167,p167,sport,3,44
168,c168,p168,elec,4,61
169,c169,p169,books,5,78
170,c170,p170,home,1,95
171,c171,p171,cloth,2,112
172,c172,p172,food,3,129
173,c173,p173,toys,4,146
174,c174,p174,beauty,5,163
175,c175,p175,sport,1,180
176,c176,p176,elec,2,197
177,c177,p177,books,3,14
178,c178,p178,home,4,31
179,c179,p179,cloth,5,48
180,c180,p180,food,1,65
181,c181,p181,toys,2,82
182,c182,p182,beauty,3,99
183,c183,p183,sport,4,116
184,c184,p184,elec,5,133
185,c185,p185,books,1,150
186,c186,p186,home,2,167
187,c187,p187,cloth,3,184
188,c188,p188,food,4,201
189,c189,p189,toys,5,18
190,c190,p190,beauty,1,35
191,c191,p191,sport,2,52
192,c192,p192,elec,3,69
193,c193,p193,books,4,86
194,c194,p194,home,5,103
195,c195,p195,cloth,1,120
196,c196,p196,food,2,137
197,c197,p197,toys,3,154
198,c198,p198,beauty,4,171
199,c199,p199,sport,5,188
200,c200,p0,elec,1,5
201,c201,p1,books,2,22
202,c202,p2,home,3,39
203,c203,p3,cloth,4,56
204,c204,p4,food,5,73
205,c205,p5,toys,1,90
206,c206,p6,beauty,2,107
207,c207,p7,sport,3,124
208,c208,p8,elec,4,141
209,c209,p9,books,5,158
210,c210,p10,home,1,175
211,c211,p11,cloth,2,192
212,c212,p12,food,3,9
213,c213,p13,toys,4,26
214,c214,p14,beauty,5,43
215,c215,p15,sport,1,60
216,c216,p16,elec,2,77
217,c217,p17,books,3,94
218,c218,p18,home,4,111
219,c219,p19,cloth,5,128
220,c220,p20,food,1,145
221,c221,p21,toys,2,162
222,c222,p22,beauty,3,179
223,c223,p23,sport,4,196
224,c224,p24,elec,5,13
225,c225,p25,books,1,30
226,c226,p26,home,2,47
227,c227,p27,cloth,3,64
228,c228,p28,food,4,81
229,c229,p29,toys,5,98
230,c230,p30,beauty,1,115
231,c231,p31,sport,2,132
232,c232,p32,elec,3,149
233,c233,p33,books,4,166
234,c234,p34,home,5,183
235,c235,p35,cloth,1,200
236,c236,p36,food,2,17
237,c237,p37,toys,3,34
238,c238,p38,beauty,4,51
239,c239,p39,sport,5,68
240,c240,p40,elec,1,85
241,c241,p41,books,2,102
242,c242,p42,home,3,119
243,c243,p43,cloth,4,136
244,c244,p44,food,5,153
245,c245,p45,toys,1,170
246,c246,p46,beauty,2,187
247,c247,p47,sport,3,204
248,c248,p48,elec,4,21
249,c249,p49,books,5,38
250,c250,p50,home,1,55
251,c251,p51,cloth,2,72
252,c252,p52,food,3,89
253,c253,p53,toys,4,106
254,c254,p54,beauty,5,123
255,c255,p55,sport,1,140
256,c256,p56,elec,2,157
257,c257,p57,books,3,174
258,c258,p58,home,4,191
259,c259,p59,cloth,5,8
260,c260,p60,food,1,25
261,c261,p61,toys,2,42
262,c262,p62,beauty,3,59
263,c263,p63,sport,4,76
264,c264,p64,elec,5,93
265,c265,p65,books,1,110
266,c266,p66,home,2,127
267,c267,p67,cloth,3,144
268,c268,p68,food,4,161
269,c269,p69,toys,5,178
270,c270,p70,beauty,1,195
271,c271,p71,sport,2,12
272,c272,p72,elec,3,29
273,c273,p73,books,4,46
274,c274,p74,home,5,63
275,c275,p75,cloth,1,80
276,c276,p76,food,2,97
277,c277,p77,toys,3,114
278,c278,p78,beauty,4,131
279,c279,p79,sport,5,148
280,c280,p80,elec,1,165
281,c281,p81,books,2,182
282,c282,p82,home,3,199
283,c283,p83,cloth,4,16
284,c284,p84,food,5,33
285,c285,p85,toys,1,50
286,c286,p86,beauty,2,67
287,c287,p87,sport,3,84
288,c288,p88,elec,4,101
289,c289,p89,books,5,118
290,c290,p90,home,1,135
291,c291,p91,cloth,2,152
292,c292,p92,food,3,169
293,c293,p93,toys,4,186
294,c294,p94,beauty,5,203
295,c295,p95,sport,1,20
296,c296,p96,elec,2,37
297,c297,p97,books,3,54
298,c298,p98,home,4,71
299,c299,p99,cloth,5,88
300,c300,p100,food,1,105
301,c301,p101,toys,2,122
302,c302,p102,beauty,3,139
303,c303,p103,sport,4,156
304,c304,p104,elec,5,173
305,c305,p105,books,1,190
306,c306,p106,home,2,7
307,c307,p107,cloth,3,24
308,c308,p108,food,4,41
309,c309,p109,toys,5,58
310,c310,p110,beauty,1,75
311,c311,p111,sport,2,92
312,c312,p112,elec,3,109
313,c313,p113,books,4,126
314,c314,p114,home,5,143
315,c315,p115,cloth,1,160
316,c316,p116,food,2,177
317,c317,p117,toys,3,194
318,c318,p118,beauty,4,11
319,c319,p119,sport,5,28
320,c320,p120,elec,1,45
321,c321,p121,books,2,62
322,c322,p122,home,3,79
323,c323,p123,cloth,4,96
324,c324,p124,food,5,113
325,c325,p125,toys,1,130
326,c326,p126,beauty,2,147
327,c327,p127,sport,3,164
328,c328,p128,elec,4,181
329,c329,p129,books,5,198
330,c330,p130,home,1,15
331,c331,p131,cloth,2,32
332,c332,p132,food,3,49
333,c333,p133,toys,4,66
334,c334,p134,beauty,5,83
335,c335,p135,sport,1,100
336,c336,p136,elec,2,117
337,c337,p137,books,3,134
338,c338,p138,home,4,151
339,c339,p139,cloth,5,168
340,c340,p140,food,1,185
341,c341,p141,toys,2,202
342,c342,p142,beauty,3,19
343,c343,p143,sport,4,36
344,c344,p144,elec,5,53
345,c345,p145,books,1,70
346,c346,p146,home,2,87
347,c347,p147,cloth,3,104
348,c348,p148,food,4,121
349,c349,p149,toys,5,138
350,c350,p150,beauty,1,155
351,c351,p151,sport,2,172
352,c352,p152,elec,3,189
353,c353,p153,books,4,6
354,c354,p154,home,5,23
355,c355,p155,cloth,1,40
356,c356,p156,food,2,57
357,c357,p157,toys,3,74
358,c358,p158,beauty,4,91
359,c359,p159,sport,5,108
360,c360,p160,elec,1,125
361,c361,p161,books,2,142
362,c362,p162,home,3,159
363,c363,p163,cloth,4,176
364,c364,p164,food,5,193
365,c365,p165,toys,1,10
366,c366,p166,beauty,2,27
367,c367,p167,sport,3,44
368,c368,p168,elec,4,61
369,c369,p169,books,5,78
370,c370,p170,home,1,95
371,c371,p171,cloth,2,112
372,c372,p172,food,3,129
373,c373,p173,toys,4,146
374,c374,p174,beauty,5,163
375,c375,p175,sport,1,180
376,c376,p176,elec,2,197
377,c377,p177,books,3,14
378,c378,p178,home,4,31
379,c379,p179,cloth,5,48
380,c380,p180,food,1,65
381,c381,p181,toys,2,82
382,c382,p182,beauty,3,99
383,c383,p183,sport,4,116
384,c384,p184,elec,5,133
385,c385,p185,books,1,150
386,c386,p186,home,2,167
387,c387,p187,cloth,3,184
388,c388,p188,food,4,201
389,c389,p189,toys,5,18
390,c390,p190,beauty,1,35
391,c391,p191,sport,2,52
392,c392,p192,elec,3,69
393,c393,p193,books,4,86
394,c394,p194,home,5,103
395,c395,p195,cloth,1,120
396,c396,p196,food,2,137
397,c397,p197,toys,3,154
398,c398,p198,beauty,4,171
399,c399,p199,sport,5,188
400,c400,p0,elec,1,5
401,c401,p1,books,2,22
402,c402,p2,home,3,39
403,c403,p3,cloth,4,56
404,c404,p4,food,5,73
405,c405,p5,toys,1,90
406,c406,p6,beauty,2,107
407,c407,p7,sport,3,124
408,c408,p8,elec,4,141
409,c409,p9,books,5,158
410,c410,p10,home,1,175
411,c411,p11,cloth,2,192
412,c412,p12,food,3,9
413,c413,p13,toys,4,26
414,c414,p14,beauty,5,43
415,c415,p15,sport,1,60
416,c416,p16,elec,2,77
417,c417,p17,books,3,94
418,c418,p18,home,4,111
419,c419,p19,cloth,5,128
420,c420,p20,food,1,145
421,c421,p21,toys,2,162
422,c422,p22,beauty,3,179
423,c423,p23,sport,4,196
424,c424,p24,elec,5,13
425,c425,p25,books,1,30
426,c426,p26,home,2,47
427,c427,p27,cloth,3,64
428,c428,p28,food,4,81
429,c429,p29,toys,5,98
430,c430,p30,beauty,1,115
431,c431,p31,sport,2,132
432,c432,p32,elec,3,149
433,c433,p33,books,4,166
434,c434,p34,home,5,183
435,c435,p35,cloth,1,200
436,c436,p36,food,2,17
437,c437,p37,toys,3,34
438,c438,p38,beauty,4,51
439,c439,p39,sport,5,68
440,c440,p40,elec,1,85
441,c441,p41,books,2,102
442,c442,p42,home,3,119
443,c443,p43,cloth,4,136
444,c444,p44,food,5,153
445,c445,p45,toys,1,170
446,c446,p46,beauty,2,187
447,c447,p47,sport,3,204
448,c448,p48,elec,4,21
449,c449,p49,books,5,38
450,c450,p50,home,1,55
451,c451,p51,cloth,2,72
452,c452,p52,food,3,89
453,c453,p53,toys,4,106
454,c454,p54,beauty,5,123
455,c455,p55,sport,1,140
456,c456,p56,elec,2,157
457,c457,p57,books,3,174
458,c458,p58,home,4,191
459,c459,p59,cloth,5,8
460,c460,p60,food,1,25
461,c461,p61,toys,2,42
462,c462,p62,beauty,3,59
463,c463,p63,sport,4,76
464,c464,p64,elec,5,93
465,c465,p65,books,1,110
466,c466,p66,home,2,127
467,c467,p67,cloth,3,144
468,c468,p68,food,4,161
469,c469,p69,toys,5,178
470,c470,p70,beauty,1,195
471,c471,p71,sport,2,12
472,c472,p72,elec,3,29
473,c473,p73,books,4,46
474,c474,p74,home,5,63
475,c475,p75,cloth,1,80
476,c476,p76,food,2,97
477,c477,p77,toys,3,114
478,c478,p78,beauty,4,131
479,c479,p79,sport,5,148
480,c480,p80,elec,1,165
481,c481,p81,books,2,182
482,c482,p82,home,3,199
483,c483,p83,cloth,4,16
484,c484,p84,food,5,33
485,c485,p85,toys,1,50
486,c486,p86,beauty,2,67
487,c487,p87,sport,3,84
488,c488,p88,elec,4,101
489,c489,p89,books,5,118
490,c490,p90,home,1,135
491,c491,p91,cloth,2,152
492,c492,p92,food,3,169
493,c493,p93,toys,4,186
494,c494,p94,beauty,5,203
495,c495,p95,sport,1,20
496,c496,p96,elec,2,37
497,c497,p97,books,3,54
498,c498,p98,home,4,71
499,c499,p99,cloth,5,88
500,c500,p100,food,1,105
501,c501,p101,toys,2,122
502,c502,p102,beauty,3,139
503,c503,p103,sport,4,156
504,c504,p104,elec,5,173
505,c505,p105,books,1,190
506,c506,p106,home,2,7
507,c507,p107,cloth,3,24
508,c508,p108,food,4,41
509,c509,p109,toys,5,58
510,c510,p110,beauty,1,75
511,c511,p111,sport,2,92
512,c512,p112,elec,3,109
513,c513,p113,books,4,126
514,c514,p114,home,5,143
515,c515,p115,cloth,1,160
516,c516,p116,food,2,177
517,c517,p117,toys,3,194
518,c518,p118,beauty,4,11
519,c519,p119,sport,5,28
520,c520,p120,elec,1,45
521,c521,p121,books,2,62
522,c522,p122,home,3,79
523,c523,p123,cloth,4,96
524,c524,p124,food,5,113
525,c525,p125,toys,1,130
526,c526,p126,beauty,2,147
527,c527,p127,sport,3,164
528,c528,p128,elec,4,181
529,c529,p129,books,5,198
530,c530,p130,home,1,15
531,c531,p131,cloth,2,32
532,c532,p132,food,3,49
533,c533,p133,toys,4,66
534,c534,p134,beauty,5,83
535,c535,p135,sport,1,100
536,c536,p136,elec,2,117
537,c537,p137,books,3,134
538,c538,p138,home,4,151
539,c539,p139,cloth,5,168
540,c540,p140,food,1,185
541,c541,p141,toys,2,202
542,c542,p142,beauty,3,19
543,c543,p143,sport,4,36
544,c544,p144,elec,5,53
545,c545,p145,books,1,70
546,c546,p146,home,2,87
547,c547,p147,cloth,3,104
548,c548,p148,food,4,121
549,c549,p149,toys,5,138
550,c550,p150,beauty,1,155
551,c551,p151,sport,2,172
552,c552,p152,elec,3,189
553,c553,p153,books,4,6
554,c554,p154,home,5,23
555,c555,p155,cloth,1,40
556,c556,p156,food,2,57
557,c557,p157,toys,3,74
558,c558,p158,beauty,4,91
559,c559,p159,sport,5,108
560,c560,p160,elec,1,125
561,c561,p161,books,2,142
562,c562,p162,home,3,159
563,c563,p163,cloth,4,176
564,c564,p164,food,5,193
565,c565,p165,toys,1,10
566,c566,p166,beauty,2,27
567,c567,p167,sport,3,44
568,c568,p168,elec,4,61
569,c569,p169,books,5,78
570,c570,p170,home,1,95
571,c571,p171,cloth,2,112
572,c572,p172,food,3,129
573,c573,p173,toys,4,146
574,c574,p174,beauty,5,163
575,c575,p175,sport,1,180
576,c576,p176,elec,2,197
577,c577,p177,books,3,14
578,c578,p178,home,4,31
579,c579,p179,cloth,5,48
580,c580,p180,food,1,65
581,c581,p181,toys,2,82
582,c582,p182,beauty,3,99
583,c583,p183,sport,4,116
584,c584,p184,elec,5,133
585,c585,p185,books,1,150
586,c586,p186,home,2,167
587,c587,p187,cloth,3,184
588,c588,p188,food,4,201
589,c589,p189,toys,5,18
590,c590,p190,beauty,1,35
591,c591,p191,sport,2,52
592,c592,p192,elec,3,69
593,c593,p193,books,4,86
594,c594,p194,home,5,103
595,c595,p195,cloth,1,120
596,c596,p196,food,2,137
597,c597,p197,toys,3,154
598,c598,p198,beauty,4,171
599,c599,p199,sport,5,188
600,c600,p0,elec,1,5
601,c601,p1,books,2,22
602,c602,p2,home,3,39
603,c603,p3,cloth,4,56
604,c604,p4,food,5,73
605,c605,p5,toys,1,90
606,c606,p6,beauty,2,107
607,c607,p7,sport,3,124
608,c608,p8,elec,4,141
609,c609,p9,books,5,158
610,c610,p10,home,1,175
611,c611,p11,cloth,2,192
612,c612,p12,food,3,9
613,c613,p13,toys,4,26
614,c614,p14,beauty,5,43
615,c615,p15,sport,1,60
616,c616,p16,elec,2,77
617,c617,p17,books,3,94
618,c618,p18,home,4,111
619,c619,p19,cloth,5,128
620,c620,p20,food,1,145
621,c621,p21,toys,2,162
622,c622,p22,beauty,3,179
623,c623,p23,sport,4,196
624,c624,p24,elec,5,13
625,c625,p25,books,1,30
626,c626,p26,home,2,47
627,c627,p27,cloth,3,64
628,c628,p28,food,4,81
629,c629,p29,toys,5,98
630,c630,p30,beauty,1,115
631,c631,p31,sport,2,132
632,c632,p32,elec,3,149
633,c633,p33,books,4,166
634,c634,p34,home,5,183
635,c635,p35,cloth,1,200
636,c636,p36,food,2,17
637,c637,p37,toys,3,34
638,c638,p38,beauty,4,51
639,c639,p39,sport,5,68
640,c640,p40,elec,1,85
641,c641,p41,books,2,102
642,c642,p42,home,3,119
643,c643,p43,cloth,4,136
644,c644,p44,food,5,153
645,c645,p45,toys,1,170
646,c646,p46,beauty,2,187
647,c647,p47,sport,3,204
648,c648,p48,elec,4,21
649,c649,p49,books,5,38
650,c650,p50,home,1,55
651,c651,p51,cloth,2,72
652,c652,p52,food,3,89
653,c653,p53,toys,4,106
654,c654,p54,beauty,5,123
655,c655,p55,sport,1,140
656,c656,p56,elec,2,157
657,c657,p57,books,3,174
658,c658,p58,home,4,191
659,c659,p59,cloth,5,8
660,c660,p60,food,1,25
661,c661,p61,toys,2,42
662,c662,p62,beauty,3,59
663,c663,p63,sport,4,76
664,c664,p64,elec,5,93
665,c665,p65,books,1,110
666,c666,p66,home,2,127
667,c667,p67,cloth,3,144
668,c668,p68,food,4,161
669,c669,p69,toys,5,178
670,c670,p70,beauty,1,195
671,c671,p71,sport,2,12
672,c672,p72,elec,3,29
673,c673,p73,books,4,46
674,c674,p74,home,5,63
675,c675,p75,cloth,1,80
676,c676,p76,food,2,97
677,c677,p77,toys,3,114
678,c678,p78,beauty,4,131
679,c679,p79,sport,5,148
680,c680,p80,elec,1,165
681,c681,p81,books,2,182
682,c682,p82,home,3,199
683,c683,p83,cloth,4,16
684,c684,p84,food,5,33
685,c685,p85,toys,1,50
686,c686,p86,beauty,2,67
687,c687,p87,sport,3,84
688,c688,p88,elec,4,101
689,c689,p89,books,5,118
690,c690,p90,home,1,135
691,c691,p91,cloth,2,152
692,c692,p92,food,3,169
693,c693,p93,toys,4,186
694,c694,p94,beauty,5,203
695,c695,p95,sport,1,20
696,c696,p96,elec,2,37
697,c697,p97,books,3,54
698,c698,p98,home,4,71
699,c699,p99,cloth,5,88
700,c700,p100,food,1,105
701,c701,p101,toys,2,122
702,c702,p102,beauty,3,139
703,c703,p103,sport,4,156
704,c704,p104,elec,5,173
705,c705,p105,books,1,190
706,c706,p106,home,2,7
707,c707,p107,cloth,3,24
708,c708,p108,food,4,41
709,c709,p109,toys,5,58
710,c710,p110,beauty,1,75
711,c711,p111,sport,2,92
712,c712,p112,elec,3,109
713,c713,p113,books,4,126
714,c714,p114,home,5,143
715,c715,p115,cloth,1,160
716,c716,p116,food,2,177
717,c717,p117,toys,3,194
718,c718,p118,beauty,4,11
719,c719,p119,sport,5,28
720,c720,p120,elec,1,45
721,c721,p121,books,2,62
722,c722,p122,home,3,79
723,c723,p123,cloth,4,96
724,c724,p124,food,5,113
725,c725,p125,toys,1,130
726,c726,p126,beauty,2,147
727,c727,p127,sport,3,164
728,c728,p128,elec,4,181
729,c729,p129,books,5,198
730,c730,p130,home,1,15
731,c731,p131,cloth,2,32
732,c732,p132,food,3,49
733,c733,p133,toys,4,66
734,c734,p134,beauty,5,83
735,c735,p135,sport,1,100
736,c736,p136,elec,2,117
737,c737,p137,books,3,134
738,c738,p138,home,4,151
739,c739,p139,cloth,5,168
740,c740,p140,food,1,185
741,c741,p141,toys,2,202
742,c742,p142,beauty,3,19
743,c743,p143,sport,4,36
744,c744,p144,elec,5,53
745,c745,p145,books,1,70
746,c746,p146,home,2,87
747,c747,p147,cloth,3,104
748,c748,p148,food,4,121
749,c749,p149,toys,5,138
750,c750,p150,beauty,1,155
751,c751,p151,sport,2,172
752,c752,p152,elec,3,189
753,c753,p153,books,4,6
754,c754,p154,home,5,23
755,c755,p155,cloth,1,40
756,c756,p156,food,2,57
757,c757,p157,toys,3,74
758,c758,p158,beauty,4,91
759,c759,p159,sport,5,108
760,c760,p160,elec,1,125
761,c761,p161,books,2,142
762,c762,p162,home,3,159
763,c763,p163,cloth,4,176
764,c764,p164,food,5,193
765,c765,p165,toys,1,10
766,c766,p166,beauty,2,27
767,c767,p167,sport,3,44
768,c768,p168,elec,4,61
769,c769,p169,books,5,78
770,c770,p170,home,1,95
771,c771,p171,cloth,2,112
772,c772,p172,food,3,129
773,c773,p173,toys,4,146
774,c774,p174,beauty,5,163
775,c775,p175,sport,1,180
776,c776,p176,elec,2,197
777,c777,p177,books,3,14
778,c778,p178,home,4,31
779,c779,p179,cloth,5,48
780,c780,p180,food,1,65
781,c781,p181,toys,2,82
782,c782,p182,beauty,3,99
783,c783,p183,sport,4,116
784,c784,p184,elec,5,133
785,c785,p185,books,1,150
786,c786,p186,home,2,167
787,c787,p187,cloth,3,184
788,c788,p188,food,4,201
789,c789,p189,toys,5,18
790,c790,p190,beauty,1,35
791,c791,p191,sport,2,52
792,c792,p192,elec,3,69
793,c793,p193,books,4,86
794,c794,p194,home,5,103
795,c795,p195,cloth,1,120
796,c796,p196,food,2,137
797,c797,p197,toys,3,154
798,c798,p198,beauty,4,171
799,c799,p199,sport,5,188
800,c800,p0,elec,1,5
801,c801,p1,books,2,22
802,c802,p2,home,3,39
803,c803,p3,cloth,4,56
804,c804,p4,food,5,73
805,c805,p5,toys,1,90
806,c806,p6,beauty,2,107
807,c807,p7,sport,3,124
808,c808,p8,elec,4,141
809,c809,p9,books,5,158
810,c810,p10,home,1,175
811,c811,p11,cloth,2,192
812,c812,p12,food,3,9
813,c813,p13,toys,4,26
814,c814,p14,beauty,5,43
815,c815,p15,sport,1,60
816,c816,p16,elec,2,77
817,c817,p17,books,3,94
818,c818,p18,home,4,111
819,c819,p19,cloth,5,128
820,c820,p20,food,1,145
821,c821,p21,toys,2,162
822,c822,p22,beauty,3,179
823,c823,p23,sport,4,196
824,c824,p24,elec,5,13
825,c825,p25,books,1,30
826,c826,p26,home,2,47
827,c827,p27,cloth,3,64
828,c828,p28,food,4,81
829,c829,p29,toys,5,98
830,c830,p30,beauty,1,115
831,c831,p31,sport,2,132
832,c832,p32,elec,3,149
833,c833,p33,books,4,166
834,c834,p34,home,5,183
835,c835,p35,cloth,1,200
836,c836,p36,food,2,17
837,c837,p37,toys,3,34
838,c838,p38,beauty,4,51
839,c839,p39,sport,5,68
840,c840,p40,elec,1,85
841,c841,p41,books,2,102
842,c842,p42,home,3,119
843,c843,p43,cloth,4,136
844,c844,p44,food,5,153
845,c845,p45,toys,1,170
846,c846,p46,beauty,2,187
847,c847,p47,sport,3,204
848,c848,p48,elec,4,21
849,c849,p49,books,5,38
850,c850,p50,home,1,55
851,c851,p51,cloth,2,72
852,c852,p52,food,3,89
853,c853,p53,toys,4,106
854,c854,p54,beauty,5,123
855,c855,p55,sport,1,140
856,c856,p56,elec,2,157
857,c857,p57,books,3,174
858,c858,p58,home,4,191
859,c859,p59,cloth,5,8
860,c860,p60,food,1,25
861,c861,p61,toys,2,42
862,c862,p62,beauty,3,59
863,c863,p63,sport,4,76
864,c864,p64,elec,5,93
865,c865,p65,books,1,110
866,c866,p66,home,2,127
867,c867,p67,cloth,3,144
868,c868,p68,food,4,161
869,c869,p69,toys,5,178
870,c870,p70,beauty,1,195
871,c871,p71,sport,2,12
872,c872,p72,elec,3,29
873,c873,p73,books,4,46
874,c874,p74,home,5,63
875,c875,p75,cloth,1,80
876,c876,p76,food,2,97
877,c877,p77,toys,3,114
878,c878,p78,beauty,4,131
879,c879,p79,sport,5,148
880,c880,p80,elec,1,165
881,c881,p81,books,2,182
882,c882,p82,home,3,199
883,c883,p83,cloth,4,16
884,c884,p84,food,5,33
885,c885,p85,toys,1,50
886,c886,p86,beauty,2,67
887,c887,p87,sport,3,84
888,c888,p88,elec,4,101
889,c889,p89,books,5,118
890,c890,p90,home,1,135
891,c891,p91,cloth,2,152
892,c892,p92,food,3,169
893,c893,p93,toys,4,186
894,c894,p94,beauty,5,203
895,c895,p95,sport,1,20
896,c896,p96,elec,2,37
897,c897,p97,books,3,54
898,c898,p98,home,4,71
899,c899,p99,cloth,5,88
900,c900,p100,food,1,105
901,c901,p101,toys,2,122
902,c902,p102,beauty,3,139
903,c903,p103,sport,4,156
904,c904,p104,elec,5,173
905,c905,p105,books,1,190
906,c906,p106,home,2,7
907,c907,p107,cloth,3,24
908,c908,p108,food,4,41
909,c909,p109,toys,5,58
910,c910,p110,beauty,1,75
911,c911,p111,sport,2,92
912,c912,p112,elec,3,109
913,c913,p113,books,4,126
914,c914,p114,home,5,143
915,c915,p115,cloth,1,160
916,c916,p116,food,2,177
917,c917,p117,toys,3,194
918,c918,p118,beauty,4,11
919,c919,p119,sport,5,28
920,c920,p120,elec,1,45
921,c921,p121,books,2,62
922,c922,p122,home,3,79
923,c923,p123,cloth,4,96
924,c924,p124,food,5,113
925,c925,p125,toys,1,130
926,c926,p126,beauty,2,147
927,c927,p127,sport,3,164
928,c928,p128,elec,4,181
929,c929,p129,books,5,198
930,c930,p130,home,1,15
931,c931,p131,cloth,2,32
932,c932,p132,food,3,49
933,c933,p133,toys,4,66
934,c934,p134,beauty,5,83
935,c935,p135,sport,1,100
936,c936,p136,elec,2,117
937,c937,p137,books,3,134
938,c938,p138,home,4,151
